 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort
   542    4.799              -1             -10          0.0000;
   543    4.808              -1              22          0.0000;
   544    4.817              -1              53          0.0000;
   545    4.826              -1              81          0.0000;
   546    4.834              -1             105          0.0000;
   547    4.843              -1             124          0.0000;
   548    4.852              -1             137          0.0000;
   549    4.861              -1             143          0.0000;
   550    4.870              -1             142          0.0000;
   551    4.879              -1             134          0.0000;
   552    4.888              -1             119          0.0000;
   553    4.896              -1              99          0.0000;
   554    4.905              -1              74          0.0000;
   555    4.914              -1              47          0.0000;
   556    4.923              -1              17          0.0000;
   557    4.932              -1             -13          0.0000;
   558    4.941              -1             -42          0.0000;
   559    4.949              -1             -68          0.0000;
   560    4.958              -1             -90          0.0000;
   561    4.967              -1            -108          0.0000;
   562    4.976              -1            -120          0.0000;
   563    4.985              -1            -126          0.0000;
   564    4.994              -1            -124          0.0000;
   565    5.003              -1            -117          0.0000;
   566    5.011              -1            -104          0.0000;
   567    5.020              -1             -86          0.0000;
   568    5.029              -1             -63          0.0000;
   569    5.038              -1             -38          0.0000;
   570    5.047              -1             -10          0.0000;
   571    5.056              -1              18          0.0000;
   572    5.065              -1              44          0.0000;
   573    5.073              -1              69          0.0000;
   574    5.082              -1              90          0.0000;
   575    5.091              -1             106          0.0000;
   576    5.100              -1             117          0.0000;
   577    5.109              -1             123          0.0000;
   578    5.118              -1             122          0.0000;
   579    5.127              -1             115          0.0000;
   580    5.135              -1             103          0.0000;
   581    5.144              -1              86          0.0000;
   582    5.153              -1              65          0.0000;
   583    5.162              -1              41          0.0000;
   584    5.171              -1              16          0.0000;
   585    5.180              -1             -10          0.0000;
   586    5.189              -1             -34          0.0000;
   587    5.197              -1             -57          0.0000;
   588    5.206              -1             -76          0.0000;
   589    5.215              -1             -91          0.0000;
   590    5.224              -1            -101          0.0000;
   591    5.233              -1            -106          0.0000;
   592    5.242              -1            -105          0.0000;
   593    5.251              -1             -99          0.0000;
   594    5.259              -1             -87          0.0000;
   595    5.268              -1             -72          0.0000;
   596    5.277              -1             -53          0.0000;
   597    5.286              -1             -31          0.0000;
   598    5.295              -1              -8          0.0000;
   599    5.304              -1              16          0.0000;
   600    5.313              -1              38          0.0000;
   601    5.321              -1              59          0.0000;
   602    5.330              -1              77          0.0000;
   603    5.339              -1              91          0.0000;
   604    5.348              -1             100          0.0000;
   605    5.357              -1             104          0.0000;
   606    5.366              -1             103          0.0000;
   607    5.374              -1              98          0.0000;
   608    5.383              -1              87          0.0000;
   609    5.392              -1              72          0.0000;
   610    5.401              -1              54          0.0000;
   611    5.410              -1              34          0.0000;
   612    5.419              -1              13          0.0000;
   613    5.428              -1              -8          0.0000;
   614    5.436              -1             -29          0.0000;
   615    5.445              -1             -48          0.0000;
   616    5.454              -1             -64          0.0000;
   617    5.463              -1             -76          0.0000;
   618    5.472              -1             -84          0.0000;
   619    5.481              -1             -88          0.0000;
   620    5.490              -1             -87          0.0000;
   621    5.498              -1             -81          0.0000;
   622    5.507              -1             -71          0.0000;
   623    5.516              -1             -58          0.0000;
   624    5.525              -1             -42          0.0000;
   625    5.534              -1             -23          0.0000;
   626    5.543              -1              -4          0.0000;
   627    5.552              -1              16          0.0000;
   628    5.560              -1              34          0.0000;
   629    5.569              -1              51          0.0000;
   630    5.578              -1              66          0.0000;
   631    5.587              -1              77          0.0000;
   632    5.596              -1              84          0.0000;
   633    5.605              -1              87          0.0000;
   634    5.614              -1              86          0.0000;
   635    5.622              -1              80          0.0000;
   636    5.631              -1              71          0.0000;
   637    5.640              -1              59          0.0000;
   638    5.649              -1              44          0.0000;
   639    5.658              -1              27          0.0000;
   640    5.667              -1               9          0.0000;
   641    5.676              -1              -8          0.0000;
   642    5.684              -1             -25          0.0000;
   643    5.693              -1             -40          0.0000;
   644    5.702              -1             -53          0.0000;
   645    5.711              -1             -63          0.0000;
   646    5.720              -1             -69          0.0000;
   647    5.729              -1             -72          0.0000;
   648    5.738              -1             -70          0.0000;
   649    5.746              -1             -64          0.0000;
   650    5.755              -1             -56          0.0000;
   651    5.764              -1             -44          0.0000;
   652    5.773              -1             -30          0.0000;
   653    5.782              -1             -15          0.0000;
   654    5.791              -1               1          0.0000;
   655    5.799              -1              17          0.0000;
   656    5.808              -1              32          0.0000;
   657    5.817              -1              45          0.0000;
   658    5.826              -1              56          0.0000;
   659    5.835              -1              65          0.0000;
   660    5.844              -1              70          0.0000;
   661    5.853              -1              71          0.0000;
   662    5.861              -1              69          0.0000;
   663    5.870              -1              64          0.0000;
   664    5.879              -1              56          0.0000;
   665    5.888              -1              45          0.0000;
   666    5.897              -1              32          0.0000;
   667    5.906              -1              18          0.0000;
   668    5.915              -1               4          0.0000;
   669    5.923              -1             -10          0.0000;
   670    5.932              -1             -23          0.0000;
   671    5.941              -1             -35          0.0000;
   672    5.950              -1             -44          0.0000;
   673    5.959              -1             -51          0.0000;
   674    5.968              -1             -55          0.0000;
   675    5.977              -1             -56          0.0000;
   676    5.985              -1             -53          0.0000]
